,Index,Subject,Birth year,Record,Link,FileLink,Context,Word,Dissimilation,Num,pos
498,268561,лсо1941,1941,20140703b-lso,http://www.parasolcorpus.org/Pushkino/OUT/20140703b-lso-125407-128498.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140703b-lso-125407-128498.wav,Мешали да и все - #кто# как... кто как сумеет.,хто,yes,1.0,126952.5
499,268566,лсо1941,1941,20140703b-lso,http://www.parasolcorpus.org/Pushkino/OUT/20140703b-lso-125407-128498.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140703b-lso-125407-128498.wav,Мешали да и все - кто как... #кто# как сумеет.,хто,yes,1.0,126952.5
500,268583,лсо1941,1941,20140703b-lso,http://www.parasolcorpus.org/Pushkino/OUT/20140703b-lso-129751-135200.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140703b-lso-129751-135200.wav,"А теперь... а у кого... у меня #кто# - Колька один, да как мешать - то будешь, коров - то нету.",хто,yes,1.0,132475.5
501,298681,лсо1941,1941,20140624e-lso,http://www.parasolcorpus.org/Pushkino/OUT/20140624e-lso-996295-1000524.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140624e-lso-996295-1000524.wav,"А потом говорит лезет говорит мохнатый, леший знает #кто# .",хто,yes,1.0,998409.5
502,298933,лсо1941,1941,20140624e-lso,http://www.parasolcorpus.org/Pushkino/OUT/20140624e-lso-1077593-1083176.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140624e-lso-1077593-1083176.wav,"Ну девушку оставила тут, а робить #кто# надо как - робила да",хто,yes,1.0,1080384.5
503,299494,лсо1941,1941,20140624e-lso,http://www.parasolcorpus.org/Pushkino/OUT/20140624e-lso-1286472-1288407.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140624e-lso-1286472-1288407.wav,Теперь там #кто# живет - не знаю.,хто,yes,1.0,1287439.5
504,302746,лсо1941,1941,20140624e-lso,http://www.parasolcorpus.org/Pushkino/OUT/20140624e-lso-2437796-2438413.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140624e-lso-2437796-2438413.wav, #Кто# ?,хто,yes,1.0,2438104.5
505,304790,лсо1941,1941,20140624e-lso,http://www.parasolcorpus.org/Pushkino/OUT/20140624e-lso-3192919-3194714.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140624e-lso-3192919-3194714.wav,"А #кто# знает, как она.",хто,yes,1.0,3193816.5
506,305456,лсо1941,1941,20140624e-lso,http://www.parasolcorpus.org/Pushkino/OUT/20140624e-lso-3497604-3499870.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140624e-lso-3497604-3499870.wav,Родители #кто# да... Да я,хто,yes,1.0,3498737.0
507,305552,лсо1941,1941,20140624e-lso,http://www.parasolcorpus.org/Pushkino/OUT/20140624e-lso-3534468-3536936.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140624e-lso-3534468-3536936.wav,"А может и юбилей у них, #кто# знает.",хто,yes,1.0,3535702.0
508,261759,лсо1941,1941,20130627a-lso-1,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-182910-184281.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-182910-184281.wav, #Никто# не помогает ничем.,нихто,yes,1.0,183595.5
509,304468,лсо1941,1941,20140624e-lso,http://www.parasolcorpus.org/Pushkino/OUT/20140624e-lso-3056059-3059369.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140624e-lso-3056059-3059369.wav,"Тоненькая, все! и #никто# не придерешься.",нихто,yes,1.0,3057714.0
